Month,DepartmentType,LocationName,Area,NumberOfAttendancesEpisode,NumberMeetingTargetEpisode,AttendanceGreater8hrs,AttendanceGreater12hrs,UnaccountedAttendanceWait,DischargeDestinationAdmissionToSame,DischargeDestinationOtherSpecialty,DischargeDestinationResidence,DischargeDestinationTransfer,DischargeDestinationUnknown,Year,NumberMeetingTargetEpisodePercentage,AttendanceGreater8hrsPercentage,AttendanceGreater12hrsPercentage,UnaccountedAttendanceWaitPercentage,DischargeDestinationAdmissionToSamePercentage,DischargeDestinationOtherSpecialtyPercentage,DischargeDestinationResidencePercentage,DischargeDestinationTransferPercentage,DischargeDestinationUnknownPercentage
05-2012,Emergency Department,Royal Infirmary of Edinburgh at Little France,NHS Lothian,9765.0,8725.0,126.0,18.0,896.0,2850.0,22.0,6485.0,408.0,0.0,2012,89.35,1.29,0.18,9.18,29.19,0.23,66.41,4.18,0.0
05-2012,Emergency Department,Royal Hospital for Children and Young People,NHS Lothian,3783.0,3754.0,0.0,0.0,29.0,477.0,0.0,3306.0,0.0,0.0,2012,99.23,0.0,0.0,0.77,12.61,0.0,87.39,0.0,0.0
05-2012,Minor Injury Unit or Other,The Balfour,NHS Orkney,301.0,296.0,1.0,0.0,4.0,2.0,0.0,299.0,0.0,0.0,2012,98.34,0.33,0.0,1.33,0.66,0.0,99.34,0.0,0.0
05-2012,Emergency Department,Gilbert Bain Hospital,NHS Shetland,705.0,700.0,0.0,0.0,5.0,159.0,0.0,530.0,2.0,14.0,2012,99.29,0.0,0.0,0.71,22.55,0.0,75.18,0.28,1.99
05-2012,Emergency Department,Ninewells Hospital,NHS Tayside,4159.0,4067.0,1.0,0.0,91.0,893.0,18.0,3154.0,91.0,3.0,2012,97.79,0.02,0.0,2.19,21.47,0.43,75.84,2.19,0.07
05-2012,Emergency Department,Perth Royal Infirmary,NHS Tayside,2361.0,2284.0,1.0,0.0,76.0,395.0,0.0,1573.0,324.0,69.0,2012,96.74,0.04,0.0,3.22,16.73,0.0,66.62,13.72,2.92
05-2012,Minor Injury Unit or Other,St Margaret's Hospital,NHS Tayside,39.0,39.0,0.0,0.0,0.0,1.0,0.0,26.0,5.0,7.0,2012,100.0,0.0,0.0,0.0,2.56,0.0,66.67,12.82,17.95
05-2012,Minor Injury Unit or Other,Aberfeldy Cottage Hospital,NHS Tayside,7.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,42.86,0.0,57.14
05-2012,Minor Injury Unit or Other,Blairgowrie & Rattray Cottage Hospital,NHS Tayside,283.0,283.0,0.0,0.0,0.0,0.0,0.0,273.0,9.0,1.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,96.47,3.18,0.35
05-2012,Minor Injury Unit or Other,Arbroath Infirmary,NHS Tayside,1305.0,1304.0,0.0,0.0,1.0,0.0,0.0,1203.0,95.0,7.0,2012,99.92,0.0,0.0,0.08,0.0,0.0,92.18,7.28,0.54
05-2012,Minor Injury Unit or Other,Brechin Infirmary,NHS Tayside,370.0,370.0,0.0,0.0,0.0,0.0,0.0,350.0,20.0,0.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,94.59,5.41,0.0
05-2012,Minor Injury Unit or Other,Crieff Community Hospital,NHS Tayside,165.0,165.0,0.0,0.0,0.0,0.0,0.0,142.0,13.0,10.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,86.06,7.88,6.06
05-2012,Minor Injury Unit or Other,Whitehills Health and Community Care Centre,NHS Tayside,659.0,659.0,0.0,0.0,0.0,0.0,0.0,631.0,28.0,0.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,95.75,4.25,0.0
05-2012,Minor Injury Unit or Other,Pitlochry Community Hospital,NHS Tayside,229.0,229.0,0.0,0.0,0.0,0.0,0.0,199.0,28.0,2.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,86.9,12.23,0.87
05-2012,Emergency Department,Western Isles Hospital,NHS Western Isles,606.0,597.0,1.0,0.0,8.0,115.0,0.0,465.0,20.0,6.0,2012,98.51,0.17,0.0,1.32,18.98,0.0,76.73,3.3,0.99
06-2012,Emergency Department,University Hospital Crosshouse,NHS Ayrshire and Arran,6077.0,5732.0,17.0,0.0,328.0,2315.0,4.0,3334.0,134.0,290.0,2012,94.32,0.28,0.0,5.4,38.09,0.07,54.86,2.21,4.77
06-2012,Emergency Department,University Hospital Ayr,NHS Ayrshire and Arran,3912.0,3557.0,21.0,10.0,324.0,1333.0,4.0,2308.0,129.0,138.0,2012,90.93,0.54,0.26,8.28,34.07,0.1,59.0,3.3,3.53
06-2012,Emergency Department,Borders General Hospital,NHS Borders,1957.0,1933.0,0.0,0.0,24.0,633.0,3.0,957.0,339.0,25.0,2012,98.77,0.0,0.0,1.23,32.35,0.15,48.9,17.32,1.28
06-2012,Minor Injury Unit or Other,Newton Stewart Hospital,NHS Dumfries and Galloway,32.0,32.0,0.0,0.0,0.0,0.0,0.0,21.0,11.0,0.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,65.62,34.38,0.0
06-2012,Emergency Department,Galloway Community Hospital,NHS Dumfries and Galloway,1019.0,994.0,1.0,0.0,24.0,114.0,1.0,868.0,36.0,0.0,2012,97.55,0.1,0.0,2.36,11.19,0.1,85.18,3.53,0.0
06-2012,Emergency Department,Dumfries & Galloway Royal Infirmary,NHS Dumfries and Galloway,2967.0,2802.0,3.0,0.0,162.0,875.0,3.0,2008.0,81.0,0.0,2012,94.44,0.1,0.0,5.46,29.49,0.1,67.68,2.73,0.0
06-2012,Emergency Department,Victoria Hospital,NHS Fife,5201.0,4883.0,64.0,7.0,247.0,1270.0,17.0,3554.0,228.0,132.0,2012,93.89,1.23,0.13,4.75,24.42,0.33,68.33,4.38,2.54
06-2012,Minor Injury Unit or Other,Queen Margaret Hospital,NHS Fife,1584.0,1582.0,0.0,0.0,2.0,0.0,0.0,1262.0,100.0,222.0,2012,99.87,0.0,0.0,0.13,0.0,0.0,79.67,6.31,14.02
06-2012,Minor Injury Unit or Other,Stirling Community Hospital,NHS Forth Valley,1259.0,1259.0,0.0,0.0,0.0,3.0,0.0,1085.0,63.0,108.0,2012,100.0,0.0,0.0,0.0,0.24,0.0,86.18,5.0,8.58
06-2012,Emergency Department,Forth Valley Royal Hospital,NHS Forth Valley,5111.0,4860.0,7.0,0.0,244.0,1174.0,6.0,3665.0,31.0,235.0,2012,95.09,0.14,0.0,4.77,22.97,0.12,71.71,0.61,4.6
06-2012,Emergency Department,Aberdeen Royal Infirmary,NHS Grampian,5167.0,4914.0,33.0,1.0,219.0,1371.0,11.0,3646.0,68.0,71.0,2012,95.1,0.64,0.02,4.24,26.53,0.21,70.56,1.32,1.37
06-2012,Emergency Department,Royal Aberdeen Children's Hospital,NHS Grampian,1519.0,1507.0,0.0,0.0,12.0,385.0,0.0,1133.0,0.0,1.0,2012,99.21,0.0,0.0,0.79,25.35,0.0,74.59,0.0,0.07
06-2012,Emergency Department,Dr Gray's Hospital,NHS Grampian,2075.0,2008.0,3.0,0.0,64.0,423.0,5.0,1618.0,19.0,10.0,2012,96.77,0.14,0.0,3.08,20.39,0.24,77.98,0.92,0.48
06-2012,Minor Injury Unit or Other,Vale of Leven General Hospital,NHS Greater Glasgow and Clyde,1176.0,1139.0,0.0,0.0,37.0,231.0,9.0,876.0,54.0,6.0,2012,96.85,0.0,0.0,3.15,19.64,0.77,74.49,4.59,0.51
06-2012,Emergency Department,Inverclyde Royal Hospital,NHS Greater Glasgow and Clyde,2725.0,2654.0,1.0,0.0,70.0,702.0,4.0,1888.0,19.0,112.0,2012,97.39,0.04,0.0,2.57,25.76,0.15,69.28,0.7,4.11
06-2012,Emergency Department,Royal Alexandra Hospital,NHS Greater Glasgow and Clyde,6085.0,5381.0,22.0,0.0,682.0,2126.0,13.0,3568.0,141.0,237.0,2012,88.43,0.36,0.0,11.21,34.94,0.21,58.64,2.32,3.89
06-2012,Emergency Department,Glasgow Royal Infirmary,NHS Greater Glasgow and Clyde,7351.0,7146.0,2.0,0.0,203.0,1644.0,13.0,5147.0,143.0,404.0,2012,97.21,0.03,0.0,2.76,22.36,0.18,70.02,1.95,5.5
06-2012,Minor Injury Unit or Other,Stobhill Hospital,NHS Greater Glasgow and Clyde,1418.0,1417.0,0.0,0.0,1.0,6.0,0.0,1284.0,6.0,122.0,2012,99.93,0.0,0.0,0.07,0.42,0.0,90.55,0.42,8.6
06-2012,Minor Injury Unit or Other,New Victoria Hospital,NHS Greater Glasgow and Clyde,1573.0,1573.0,0.0,0.0,0.0,0.0,1.0,1553.0,2.0,17.0,2012,100.0,0.0,0.0,0.0,0.0,0.06,98.73,0.13,1.08
06-2012,Emergency Department,New Victoria Hospital,NHS Greater Glasgow and Clyde,5258.0,4886.0,4.0,0.0,368.0,1484.0,8.0,3536.0,135.0,95.0,2012,92.93,0.08,0.0,7.0,28.22,0.15,67.25,2.57,1.81
06-2012,Emergency Department,Queen Elizabeth University Hospital,NHS Greater Glasgow and Clyde,4205.0,3966.0,3.0,1.0,235.0,1075.0,4.0,2998.0,87.0,41.0,2012,94.32,0.07,0.02,5.59,25.56,0.1,71.3,2.07,0.98
06-2012,Emergency Department,Royal Hospital for Children,NHS Greater Glasgow and Clyde,3872.0,3765.0,1.0,0.0,106.0,515.0,0.0,3351.0,2.0,4.0,2012,97.24,0.03,0.0,2.74,13.3,0.0,86.54,0.05,0.1
06-2012,Emergency Department,West Glasgow,NHS Greater Glasgow and Clyde,4984.0,4573.0,24.0,0.0,387.0,1459.0,5.0,3053.0,127.0,340.0,2012,91.75,0.48,0.0,7.76,29.27,0.1,61.26,2.55,6.82
06-2012,Emergency Department,Lorn & Islands Hospital,NHS Highland,575.0,567.0,1.0,0.0,7.0,95.0,0.0,460.0,7.0,13.0,2012,98.61,0.17,0.0,1.22,16.52,0.0,80.0,1.22,2.26
06-2012,Emergency Department,Caithness General Hospital,NHS Highland,585.0,578.0,1.0,0.0,6.0,156.0,1.0,428.0,0.0,0.0,2012,98.8,0.17,0.0,1.03,26.67,0.17,73.16,0.0,0.0
06-2012,Emergency Department,Raigmore Hospital,NHS Highland,2759.0,2666.0,3.0,1.0,89.0,614.0,4.0,2137.0,4.0,0.0,2012,96.63,0.11,0.04,3.23,22.25,0.14,77.46,0.14,0.0
06-2012,Emergency Department,Belford Hospital,NHS Highland,870.0,860.0,1.0,0.0,9.0,127.0,0.0,739.0,4.0,0.0,2012,98.85,0.11,0.0,1.03,14.6,0.0,84.94,0.46,0.0
06-2012,Emergency Department,University Hospital Monklands,NHS Lanarkshire,5704.0,5432.0,6.0,0.0,266.0,1648.0,5.0,3720.0,189.0,142.0,2012,95.23,0.11,0.0,4.66,28.89,0.09,65.22,3.31,2.49
06-2012,Emergency Department,University Hospital Hairmyres,NHS Lanarkshire,4809.0,4545.0,54.0,18.0,192.0,1210.0,7.0,3435.0,127.0,30.0,2012,94.51,1.12,0.37,3.99,25.16,0.15,71.43,2.64,0.62
06-2012,Emergency Department,University Hospital Wishaw,NHS Lanarkshire,5604.0,5284.0,16.0,0.0,304.0,1226.0,7.0,4102.0,204.0,65.0,2012,94.29,0.29,0.0,5.42,21.88,0.12,73.2,3.64,1.16
06-2012,Minor Injury Unit or Other,Western General Hospital,NHS Lothian,3371.0,3020.0,19.0,0.0,332.0,1055.0,2.0,2284.0,30.0,0.0,2012,89.59,0.56,0.0,9.85,31.3,0.06,67.75,0.89,0.0
06-2012,Emergency Department,St John's Hospital,NHS Lothian,4602.0,4348.0,25.0,5.0,224.0,1026.0,7.0,3416.0,153.0,0.0,2012,94.48,0.54,0.11,4.87,22.29,0.15,74.23,3.32,0.0
06-2012,Emergency Department,Royal Infirmary of Edinburgh at Little France,NHS Lothian,9596.0,8521.0,102.0,7.0,966.0,2858.0,16.0,6345.0,377.0,0.0,2012,88.8,1.06,0.07,10.07,29.78,0.17,66.12,3.93,0.0
06-2012,Emergency Department,Royal Hospital for Children and Young People,NHS Lothian,3431.0,3395.0,0.0,0.0,36.0,392.0,0.0,3039.0,0.0,0.0,2012,98.95,0.0,0.0,1.05,11.43,0.0,88.57,0.0,0.0
06-2012,Minor Injury Unit or Other,The Balfour,NHS Orkney,326.0,321.0,1.0,0.0,4.0,0.0,0.0,324.0,0.0,2.0,2012,98.47,0.31,0.0,1.23,0.0,0.0,99.39,0.0,0.61
06-2012,Emergency Department,Gilbert Bain Hospital,NHS Shetland,719.0,715.0,0.0,0.0,4.0,169.0,0.0,525.0,2.0,23.0,2012,99.44,0.0,0.0,0.56,23.5,0.0,73.02,0.28,3.2
06-2012,Emergency Department,Ninewells Hospital,NHS Tayside,3872.0,3809.0,1.0,0.0,62.0,875.0,17.0,2728.0,252.0,0.0,2012,98.37,0.03,0.0,1.6,22.6,0.44,70.45,6.51,0.0
06-2012,Emergency Department,Perth Royal Infirmary,NHS Tayside,2236.0,2210.0,0.0,0.0,26.0,375.0,0.0,1461.0,373.0,27.0,2012,98.84,0.0,0.0,1.16,16.77,0.0,65.34,16.68,1.21
06-2012,Minor Injury Unit or Other,St Margaret's Hospital,NHS Tayside,30.0,30.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,0.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,0.0
06-2012,Minor Injury Unit or Other,Aberfeldy Cottage Hospital,NHS Tayside,13.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,46.15,15.38,38.46
06-2012,Minor Injury Unit or Other,Blairgowrie & Rattray Cottage Hospital,NHS Tayside,296.0,296.0,0.0,0.0,0.0,0.0,0.0,264.0,27.0,5.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,89.19,9.12,1.69
06-2012,Minor Injury Unit or Other,Arbroath Infirmary,NHS Tayside,1260.0,1258.0,0.0,0.0,2.0,0.0,0.0,1177.0,81.0,2.0,2012,99.84,0.0,0.0,0.16,0.0,0.0,93.41,6.43,0.16
06-2012,Minor Injury Unit or Other,Brechin Infirmary,NHS Tayside,324.0,324.0,0.0,0.0,0.0,0.0,0.0,306.0,16.0,2.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,94.44,4.94,0.62
06-2012,Minor Injury Unit or Other,Crieff Community Hospital,NHS Tayside,210.0,209.0,0.0,0.0,1.0,0.0,0.0,187.0,15.0,8.0,2012,99.52,0.0,0.0,0.48,0.0,0.0,89.05,7.14,3.81
06-2012,Minor Injury Unit or Other,Whitehills Health and Community Care Centre,NHS Tayside,566.0,566.0,0.0,0.0,0.0,0.0,0.0,547.0,18.0,1.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,96.64,3.18,0.18
06-2012,Minor Injury Unit or Other,Pitlochry Community Hospital,NHS Tayside,259.0,259.0,0.0,0.0,0.0,0.0,0.0,239.0,18.0,2.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,92.28,6.95,0.77
06-2012,Emergency Department,Western Isles Hospital,NHS Western Isles,621.0,605.0,0.0,0.0,16.0,117.0,0.0,475.0,23.0,6.0,2012,97.42,0.0,0.0,2.58,18.84,0.0,76.49,3.7,0.97
07-2012,Emergency Department,University Hospital Crosshouse,NHS Ayrshire and Arran,5871.0,5654.0,14.0,5.0,198.0,2296.0,6.0,3249.0,120.0,200.0,2012,96.3,0.24,0.09,3.37,39.11,0.1,55.34,2.04,3.41
07-2012,Emergency Department,University Hospital Ayr,NHS Ayrshire and Arran,3786.0,3640.0,2.0,1.0,143.0,1263.0,6.0,2334.0,110.0,73.0,2012,96.14,0.05,0.03,3.78,33.36,0.16,61.65,2.91,1.93
07-2012,Emergency Department,Borders General Hospital,NHS Borders,1992.0,1934.0,1.0,0.0,57.0,658.0,2.0,895.0,415.0,22.0,2012,97.09,0.05,0.0,2.86,33.03,0.1,44.93,20.83,1.1
07-2012,Minor Injury Unit or Other,Newton Stewart Hospital,NHS Dumfries and Galloway,34.0,34.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,0.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,64.71,35.29,0.0
07-2012,Emergency Department,Galloway Community Hospital,NHS Dumfries and Galloway,1058.0,1028.0,1.0,0.0,29.0,110.0,2.0,918.0,28.0,0.0,2012,97.16,0.09,0.0,2.74,10.4,0.19,86.77,2.65,0.0
07-2012,Emergency Department,Dumfries & Galloway Royal Infirmary,NHS Dumfries and Galloway,2970.0,2708.0,4.0,0.0,258.0,971.0,8.0,1876.0,115.0,0.0,2012,91.18,0.13,0.0,8.69,32.69,0.27,63.16,3.87,0.0
07-2012,Emergency Department,Victoria Hospital,NHS Fife,5088.0,4971.0,3.0,0.0,114.0,1309.0,11.0,3271.0,369.0,128.0,2012,97.7,0.06,0.0,2.24,25.73,0.22,64.29,7.25,2.52
07-2012,Minor Injury Unit or Other,Queen Margaret Hospital,NHS Fife,1544.0,1543.0,0.0,0.0,1.0,4.0,0.0,1309.0,88.0,143.0,2012,99.94,0.0,0.0,0.06,0.26,0.0,84.78,5.7,9.26
07-2012,Minor Injury Unit or Other,Stirling Community Hospital,NHS Forth Valley,1192.0,1192.0,0.0,0.0,0.0,2.0,0.0,1051.0,53.0,86.0,2012,100.0,0.0,0.0,0.0,0.17,0.0,88.17,4.45,7.21
07-2012,Emergency Department,Forth Valley Royal Hospital,NHS Forth Valley,5011.0,4727.0,3.0,0.0,281.0,1249.0,17.0,3520.0,178.0,47.0,2012,94.33,0.06,0.0,5.61,24.93,0.34,70.25,3.55,0.94
07-2012,Emergency Department,Aberdeen Royal Infirmary,NHS Grampian,5241.0,5004.0,13.0,0.0,224.0,1290.0,18.0,3783.0,75.0,75.0,2012,95.48,0.25,0.0,4.27,24.61,0.34,72.18,1.43,1.43
07-2012,Emergency Department,Royal Aberdeen Children's Hospital,NHS Grampian,1199.0,1190.0,0.0,0.0,9.0,306.0,0.0,884.0,5.0,4.0,2012,99.25,0.0,0.0,0.75,25.52,0.0,73.73,0.42,0.33
07-2012,Emergency Department,Dr Gray's Hospital,NHS Grampian,2158.0,2087.0,5.0,0.0,66.0,459.0,6.0,1646.0,33.0,14.0,2012,96.71,0.23,0.0,3.06,21.27,0.28,76.27,1.53,0.65
07-2012,Minor Injury Unit or Other,Vale of Leven General Hospital,NHS Greater Glasgow and Clyde,1204.0,1183.0,0.0,0.0,21.0,231.0,4.0,912.0,53.0,4.0,2012,98.26,0.0,0.0,1.74,19.19,0.33,75.75,4.4,0.33
07-2012,Emergency Department,Inverclyde Royal Hospital,NHS Greater Glasgow and Clyde,2800.0,2712.0,1.0,0.0,87.0,815.0,8.0,1787.0,25.0,165.0,2012,96.86,0.04,0.0,3.11,29.11,0.29,63.82,0.89,5.89
07-2012,Emergency Department,Royal Alexandra Hospital,NHS Greater Glasgow and Clyde,5886.0,5348.0,15.0,0.0,523.0,2047.0,29.0,3433.0,115.0,262.0,2012,90.86,0.25,0.0,8.89,34.78,0.49,58.32,1.95,4.45
07-2012,Emergency Department,Glasgow Royal Infirmary,NHS Greater Glasgow and Clyde,7102.0,6909.0,3.0,0.0,190.0,1618.0,22.0,4969.0,134.0,359.0,2012,97.28,0.04,0.0,2.68,22.78,0.31,69.97,1.89,5.05
07-2012,Minor Injury Unit or Other,Stobhill Hospital,NHS Greater Glasgow and Clyde,1258.0,1258.0,0.0,0.0,0.0,7.0,0.0,1130.0,10.0,111.0,2012,100.0,0.0,0.0,0.0,0.56,0.0,89.83,0.79,8.82
07-2012,Minor Injury Unit or Other,New Victoria Hospital,NHS Greater Glasgow and Clyde,1544.0,1544.0,0.0,0.0,0.0,1.0,1.0,1529.0,0.0,13.0,2012,100.0,0.0,0.0,0.0,0.06,0.06,99.03,0.0,0.84
07-2012,Emergency Department,New Victoria Hospital,NHS Greater Glasgow and Clyde,5273.0,5019.0,3.0,0.0,251.0,1437.0,4.0,3650.0,106.0,76.0,2012,95.18,0.06,0.0,4.76,27.25,0.08,69.22,2.01,1.44
07-2012,Emergency Department,Queen Elizabeth University Hospital,NHS Greater Glasgow and Clyde,4140.0,3887.0,3.0,0.0,250.0,1095.0,1.0,2926.0,67.0,51.0,2012,93.89,0.07,0.0,6.04,26.45,0.02,70.68,1.62,1.23
07-2012,Emergency Department,Royal Hospital for Children,NHS Greater Glasgow and Clyde,3262.0,3163.0,0.0,0.0,99.0,539.0,1.0,2714.0,2.0,6.0,2012,96.97,0.0,0.0,3.03,16.52,0.03,83.2,0.06,0.18
07-2012,Emergency Department,West Glasgow,NHS Greater Glasgow and Clyde,5028.0,4862.0,3.0,0.0,163.0,1506.0,7.0,3122.0,87.0,306.0,2012,96.7,0.06,0.0,3.24,29.95,0.14,62.09,1.73,6.09
07-2012,Emergency Department,Lorn & Islands Hospital,NHS Highland,598.0,586.0,1.0,0.0,11.0,106.0,1.0,474.0,17.0,0.0,2012,97.99,0.17,0.0,1.84,17.73,0.17,79.26,2.84,0.0
07-2012,Emergency Department,Caithness General Hospital,NHS Highland,567.0,556.0,0.0,0.0,11.0,198.0,1.0,368.0,0.0,0.0,2012,98.06,0.0,0.0,1.94,34.92,0.18,64.9,0.0,0.0
07-2012,Emergency Department,Raigmore Hospital,NHS Highland,2748.0,2658.0,4.0,0.0,86.0,567.0,1.0,2177.0,3.0,0.0,2012,96.72,0.15,0.0,3.13,20.63,0.04,79.22,0.11,0.0
07-2012,Emergency Department,Belford Hospital,NHS Highland,882.0,865.0,2.0,0.0,15.0,128.0,0.0,752.0,2.0,0.0,2012,98.07,0.23,0.0,1.7,14.51,0.0,85.26,0.23,0.0
07-2012,Emergency Department,University Hospital Monklands,NHS Lanarkshire,5438.0,5220.0,5.0,0.0,213.0,1602.0,6.0,3549.0,182.0,99.0,2012,95.99,0.09,0.0,3.92,29.46,0.11,65.26,3.35,1.82
07-2012,Emergency Department,University Hospital Hairmyres,NHS Lanarkshire,4731.0,4457.0,40.0,17.0,217.0,1337.0,4.0,3248.0,115.0,27.0,2012,94.21,0.85,0.36,4.59,28.26,0.08,68.65,2.43,0.57
07-2012,Emergency Department,University Hospital Wishaw,NHS Lanarkshire,5260.0,5021.0,11.0,0.0,228.0,1194.0,7.0,3785.0,167.0,107.0,2012,95.46,0.21,0.0,4.33,22.7,0.13,71.96,3.17,2.03
07-2012,Minor Injury Unit or Other,Western General Hospital,NHS Lothian,3232.0,3041.0,5.0,0.0,186.0,1050.0,1.0,2155.0,26.0,0.0,2012,94.09,0.15,0.0,5.75,32.49,0.03,66.68,0.8,0.0
07-2012,Emergency Department,St John's Hospital,NHS Lothian,4342.0,4119.0,14.0,2.0,207.0,993.0,4.0,3210.0,135.0,0.0,2012,94.86,0.32,0.05,4.77,22.87,0.09,73.93,3.11,0.0
07-2012,Emergency Department,Royal Infirmary of Edinburgh at Little France,NHS Lothian,9487.0,8825.0,80.0,15.0,567.0,2811.0,9.0,6313.0,354.0,0.0,2012,93.02,0.84,0.16,5.98,29.63,0.09,66.54,3.73,0.0
07-2012,Emergency Department,Royal Hospital for Children and Young People,NHS Lothian,2960.0,2936.0,1.0,0.0,23.0,448.0,1.0,2510.0,1.0,0.0,2012,99.19,0.03,0.0,0.78,15.14,0.03,84.8,0.03,0.0
07-2012,Minor Injury Unit or Other,The Balfour,NHS Orkney,277.0,271.0,1.0,0.0,5.0,0.0,0.0,273.0,0.0,4.0,2012,97.83,0.36,0.0,1.81,0.0,0.0,98.56,0.0,1.44
07-2012,Emergency Department,Gilbert Bain Hospital,NHS Shetland,712.0,708.0,0.0,0.0,4.0,171.0,1.0,512.0,3.0,25.0,2012,99.44,0.0,0.0,0.56,24.02,0.14,71.91,0.42,3.51
07-2012,Emergency Department,Ninewells Hospital,NHS Tayside,3830.0,3780.0,0.0,0.0,50.0,855.0,17.0,2865.0,93.0,0.0,2012,98.69,0.0,0.0,1.31,22.32,0.44,74.8,2.43,0.0
07-2012,Emergency Department,Perth Royal Infirmary,NHS Tayside,2118.0,2086.0,1.0,0.0,31.0,356.0,0.0,1408.0,300.0,54.0,2012,98.49,0.05,0.0,1.46,16.81,0.0,66.48,14.16,2.55
07-2012,Minor Injury Unit or Other,St Margaret's Hospital,NHS Tayside,27.0,27.0,0.0,0.0,0.0,0.0,0.0,21.0,5.0,1.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,77.78,18.52,3.7
07-2012,Minor Injury Unit or Other,Aberfeldy Cottage Hospital,NHS Tayside,15.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,60.0
07-2012,Minor Injury Unit or Other,Blairgowrie & Rattray Cottage Hospital,NHS Tayside,333.0,333.0,0.0,0.0,0.0,0.0,0.0,306.0,21.0,6.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,91.89,6.31,1.8
07-2012,Minor Injury Unit or Other,Arbroath Infirmary,NHS Tayside,1293.0,1292.0,0.0,0.0,1.0,0.0,0.0,1216.0,71.0,6.0,2012,99.92,0.0,0.0,0.08,0.0,0.0,94.04,5.49,0.46
07-2012,Minor Injury Unit or Other,Brechin Infirmary,NHS Tayside,266.0,266.0,0.0,0.0,0.0,0.0,0.0,245.0,21.0,0.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,92.11,7.89,0.0
07-2012,Minor Injury Unit or Other,Crieff Community Hospital,NHS Tayside,187.0,187.0,0.0,0.0,0.0,0.0,0.0,174.0,8.0,5.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,93.05,4.28,2.67
07-2012,Minor Injury Unit or Other,Whitehills Health and Community Care Centre,NHS Tayside,619.0,619.0,0.0,0.0,0.0,0.0,0.0,594.0,24.0,1.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,95.96,3.88,0.16
07-2012,Minor Injury Unit or Other,Pitlochry Community Hospital,NHS Tayside,256.0,256.0,0.0,0.0,0.0,0.0,0.0,227.0,24.0,5.0,2012,100.0,0.0,0.0,0.0,0.0,0.0,88.67,9.38,1.95
07-2012,Emergency Department,Western Isles Hospital,NHS Western Isles,618.0,608.0,0.0,0.0,10.0,125.0,0.0,472.0,19.0,2.0,2012,98.38,0.0,0.0,1.62,20.23,0.0,76.38,3.07,0.32
08-2012,Emergency Department,University Hospital Crosshouse,NHS Ayrshire and Arran,6311.0,5991.0,1.0,0.0,319.0,2319.0,3.0,3620.0,134.0,235.0,2012,94.93,0.02,0.0,5.05,36.75,0.05,57.36,2.12,3.72
08-2012,Emergency Department,University Hospital Ayr,NHS Ayrshire and Arran,4121.0,3800.0,4.0,2.0,315.0,1413.0,3.0,2464.0,120.0,121.0,2012,92.21,0.1,0.05,7.64,34.29,0.07,59.79,2.91,2.94
08-2012,Emergency Department,Borders General Hospital,NHS Borders,2076.0,2030.0,0.0,0.0,46.0,620.0,2.0,1163.0,268.0,23.0,2012,97.78,0.0,0.0,2.22,29.87,0.1,56.02,12.91,1.11
08-2012,Minor Injury Unit or Other,Newton Stewart Hospital,NHS Dumfries and Galloway,28.0,28.0,0.0,0.0,0.0,1.0,0.0,19.0,8.0,0.0,2012,100.0,0.0,0.0,0.0,3.57,0.0,67.86,28.57,0.0
08-2012,Emergency Department,Galloway Community Hospital,NHS Dumfries and Galloway,1122.0,1074.0,3.0,0.0,45.0,125.0,1.0,973.0,23.0,0.0,2012,95.72,0.27,0.0,4.01,11.14,0.09,86.72,2.05,0.0
08-2012,Emergency Department,Dumfries & Galloway Royal Infirmary,NHS Dumfries and Galloway,3126.0,2908.0,4.0,0.0,214.0,977.0,3.0,2046.0,100.0,0.0,2012,93.03,0.13,0.0,6.85,31.25,0.1,65.45,3.2,0.0
